Wavelength (nm),Irradiance
310.8651,0.0527
312.5203,0.055
313.8918,0.0575
313.7026,0.0546
312.7568,0.0527
315.3579,0.0605
316.7294,0.0632
316.7767,0.06
315.5943,0.0573
318.6211,0.0662
318.7472,0.0633
320.0871,0.0698
321.4586,0.0728
321.5059,0.0692
320.6389,0.0664
323.3503,0.0764
323.4764,0.073
325.0528,0.0801
325.3681,0.0767
326.9445,0.084
328.8362,0.0881
329.9712,0.0924
331.8629,0.0969
330.7279,0.0886
331.989,0.0926
333.7546,0.1017
333.8807,0.0972
335.6463,0.1067
335.4571,0.1017
337.538,0.1119
337.3488,0.1061
339.4297,0.1172
339.2405,0.1113
341.3214,0.1228
341.1322,0.1168
343.2131,0.1288
343.3392,0.1229
345.1048,0.1348
345.2309,0.1289
346.9965,0.1413
347.1226,0.1353
348.8882,0.1482
349.0143,0.1417
350.7799,0.1554
350.906,0.1485
353.2391,0.1633
352.7977,0.1555
355.5091,0.1707
355.0047,0.1621
357.4008,0.1789
357.5269,0.1708
360.0492,0.1873
359.4186,0.179
361.9409,0.1883
364.0217,0.2059
363.8326,0.1964
366.4809,0.2161
366.1972,0.2072
365.7243,0.2044
368.751,0.2261
368.0889,0.215
371.3993,0.2365
370.7688,0.2263
373.4802,0.2481
373.291,0.2378
375.3719,0.26
375.1827,0.2481
378.2094,0.2724
377.5474,0.2613
377.0744,0.2582
381.047,0.2851
380.2273,0.2725
382.9387,0.2986
382.7495,0.2863
385.7762,0.3132
384.9565,0.299
388.1881,0.3291
387.794,0.3128
389.3704,0.3267
390.5055,0.343
393.343,0.3597
392.5233,0.3439
396.1805,0.3765
395.0455,0.3578
399.0181,0.3941
397.8831,0.3773
400.9098,0.4125
400.7206,0.3958
403.7473,0.4325
403.0852,0.4146
402.6123,0.4097
406.5849,0.4529
405.7651,0.432
409.4224,0.4738
408.6027,0.4531
412.26,0.4959
411.4402,0.4732
415.0975,0.5191
414.2778,0.4963
417.935,0.5436
417.1153,0.5197
420.7726,0.569
419.9528,0.5432
422.7904,0.5693
424.556,0.5952
426.7314,0.5971
427.961,0.622
429.569,0.6197
431.1769,0.6483
433.1947,0.6489
434.9603,0.6793
436.9781,0.6782
438.7437,0.7091
440.9191,0.7114
442.5271,0.7407
445.4119,0.7749
444.2296,0.7403
447.3824,0.7737
449.148,0.8093
451.1658,0.808
452.9314,0.8453
455.1068,0.8486
454.6339,0.8386
456.7148,0.8819
458.7326,0.8835
460.4982,0.9226
462.516,0.9218
464.2816,0.9641
466.2994,0.9626
468.1123,1.005
470.0828,1.0043
472.7942,1.0501
474.4967,1.0507
476.5776,1.0951
478.753,1.0977
480.4083,1.143
482.3788,1.1407
485.0902,1.1921
487.2657,1.1933
489.8195,1.2418
491.522,1.2451
493.6501,1.2965
495.6206,1.2933
498.3321,1.3475
500.5075,1.3536
500.0346,1.3375
503.1086,1.4048
505.0791,1.4017
507.8378,1.4599
509.966,1.4657
509.4931,1.4483
513.4656,1.5183
515.4834,1.5178
518.2422,1.5797
520.2127,1.5752
523.87,1.6406
526.0454,1.6428
528.6465,1.7038
530.7746,1.7072
530.3017,1.6891
534.3216,1.7671
536.9227,1.7702
535.9768,1.753
540.8952,1.832
543.0707,1.8339
546.5703,1.8962
548.5881,1.8949
552.2927,1.9635
554.8938,1.9683
553.9479,1.9492
558.8663,2.0316
560.8841,2.0301
564.5887,2.1037
566.7169,2.1106
566.2439,2.0883
571.1623,2.1731
573.3378,2.1731
576.8374,2.2541
579.0129,2.2553
582.5598,2.3344
584.5303,2.3303
589.1334,2.4086
591.1512,2.4077
594.8085,2.4997
596.984,2.5077
600.4836,2.5943
602.5014,2.591
607.1518,2.6654
609.28,2.676
608.8071,2.6512
615.6172,2.7152
617.635,2.7104
623.1839,2.766
625.3594,2.7697
630.7507,2.8464
632.4533,2.8479
637.419,2.9244
638.1283,2.9012
639.5471,2.9282
644.9384,2.995
647.1139,2.9989
652.5052,3.0673
654.523,3.0672
660.072,3.1346
662.2475,3.1413
667.6388,3.2035
669.8142,3.2213
669.3413,3.1916
675.2056,3.2721
677.381,3.2904
676.9081,3.2599
683.7182,3.3369
685.4207,3.3386
691.285,3.3957
693.4604,3.4146
692.9875,3.3831
699.7976,3.4556
701.5001,3.4647
707.1752,3.5265
708.1211,3.4892
709.5398,3.5249
715.877,3.5614
717.8948,3.5702
724.3896,3.6146
726.0922,3.6146
731.7672,3.679
732.7131,3.6401
734.1319,3.6822
740.469,3.7155
742.4868,3.7082
748.7925,3.7743
749.9748,3.741
751.63,3.741
757.4943,3.7949
759.1968,3.7908
766.0069,3.8352
767.7094,3.8311
774.5195,3.8719
776.2221,3.8719
783.0322,3.9048
784.7347,3.913
791.3556,3.9337
793.2473,3.9337
799.8683,3.9545
801.76,3.9755
808.5701,3.9965
810.2726,3.9965
816.8935,4.0177
818.7852,4.0176
825.4061,4.0389
827.2978,4.0388
834.1079,4.0645
835.8105,4.0602
842.4314,4.0853
843.3772,4.0493
844.796,4.0816
850.944,4.1105
852.1263,4.0706
853.7816,4.0814
860.4025,4.103
862.2942,4.103
868.9151,4.1028
870.8068,4.1028
877.6169,4.1245
879.3195,4.1245
885.9404,4.1243
887.8321,4.1243
894.453,4.1242
896.3447,4.1241
902.9656,4.124
904.8573,4.124
911.4783,4.1238
913.37,4.1238
920.1801,4.1215
921.8826,4.1236
929.4494,4.1235
931.3411,4.1234
937.962,4.1015
939.8537,4.1014
946.4746,4.1013
948.3663,4.1013
954.9873,4.0794
956.8789,4.0794
963.4999,4.0793
965.3916,4.0792
972.0125,4.0575
973.9042,4.0575
980.5251,4.0358
982.4168,4.0358
989.0378,4.0143
990.9295,4.0143
997.5504,3.9929
999.4421,3.9929
1006.063,3.9927
1007.9547,3.9927
1015.7107,3.9756
1017.4132,4.0138
1024.0341,3.9712
1025.9258,3.9923
1032.7359,3.9543
1034.4384,3.95
1041.0594,3.9499
1042.9511,3.9499
1049.572,3.9288
1051.4637,3.9288
1058.0846,3.9079
1059.9763,3.9078
1066.4081,3.887
1068.1737,3.8596
1075.2991,3.8499
1077.0016,3.8458
1083.6225,3.8253
1085.5142,3.8253
1091.8987,3.8049
1093.3174,3.7747
1100.6478,3.7646
1102.5395,3.7645
1108.9239,3.7445
1110.3427,3.7148
1117.4839,3.7087
1119.2494,3.6819
1126.1856,3.6655
1128.0773,3.6655
1134.6983,3.6266
1136.59,3.6266
1142.9744,3.6073
1144.1568,3.5818
1151.7235,3.5691
1153.6152,3.569
1159.4795,3.5275
1161.4973,3.5375
1168.7488,3.4938
1170.6405,3.5124
1176.5047,3.4641
1178.5225,3.4659
1185.0174,3.4347
1187.0352,3.4413
1193.53,3.4001
1195.5478,3.4109
1202.0426,3.3658
1204.0604,3.3747
1210.5552,3.3461
1212.5731,3.3538
1219.0679,3.3124
1221.0857,3.3211
1227.3913,3.2918
1229.7559,3.3034
1236.0931,3.2598
1238.1109,3.2684
1244.6058,3.2407
1246.6236,3.251
1253.1184,3.2148
1255.1362,3.2165
1261.631,3.1807
1263.6488,3.1852
1270.1436,3.1487
1272.1614,3.1515
1278.6563,3.1236
1280.3588,3.107
1286.9797,3.0905
1288.8714,3.0905
1295.4924,3.0577
1297.384,3.0577
1303.8158,3.0414
1305.5814,3.0199
1312.5176,3.0092
1314.4093,3.0092
1320.7938,2.9931
1322.2125,2.9694
1329.5429,2.9614
1331.4346,2.9614
1338.0555,2.93
1339.9472,2.93
1346.3317,2.9144
1347.7504,2.8912
1354.8916,2.8835
1356.4995,2.8682
1363.4042,2.8529
1365.0121,2.8378
1371.3493,2.8197
1373.3671,2.8152
1379.8619,2.7839
1381.8798,2.7853
1388.3746,2.75
1390.3924,2.7558
1396.8872,2.7194
1398.5897,2.7194
1405.2107,2.6906
1407.1024,2.6763
1413.5341,2.662
1415.1421,2.6479
1421.9995,2.6338
1423.1818,2.6152
1429.9919,2.5907
1432.0097,2.5967
1438.5045,2.5633
1440.6799,2.5783
1440.207,2.5443
1447.0171,2.5361
1449.0349,2.5329
1455.5297,2.5039
1457.2323,2.4972
1463.8532,2.4708
1465.7449,2.4708
1472.3658,2.4446
1474.2575,2.4446
1480.1218,2.4161
1482.1396,2.4123
1488.6344,2.3867
1490.6522,2.3867
1497.147,2.3564
1499.1648,2.3635
1505.6597,2.3302
1507.3622,2.3302
1513.9831,2.3055
1515.8748,2.3055
1522.3066,2.281
1523.9145,2.269
1530.2517,2.2497
1532.2695,2.2489
1538.7643,2.2211
1540.7821,2.227
1547.277,2.1964
1549.2948,2.2015
1555.7896,2.1743
1557.8074,2.1704
1564.3022,2.1467
1566.0047,2.1398
1572.8148,2.1194
1574.5174,2.1171
1581.1383,2.0947
1583.03,2.1059
1588.8942,2.0703
1590.9121,2.0743
1597.4069,2.0495
1599.4247,2.0451
1605.9195,2.0234
1607.9373,2.0252
1614.4321,1.9977
1616.4499,2.0037
1622.7556,1.9755
1624.6473,1.9755
1631.2682,1.9546
1633.1599,1.9546
1639.0242,1.9318
1641.042,1.927
1647.5368,1.9073
1649.5546,1.9083
1656.0494,1.8831
1658.0672,1.888
1664.562,1.8631
1666.5799,1.8664
1673.0747,1.8433
1674.7772,1.8336
1681.209,1.8238
1682.9745,1.8109
1689.6743,1.8045
1690.8566,1.7917
1698.4234,1.7759
1700.3151,1.7853
1706.1793,1.7561
1708.1971,1.7586
1714.692,1.7375
1716.7098,1.7354
1723.2046,1.7164
1725.2224,1.717
1731.7172,1.6946
1733.4197,1.6928
1740.0407,1.6748
1741.9324,1.6748
1747.7966,1.6553
1749.8144,1.6571
1756.3093,1.6378
1758.3271,1.6352
1764.8219,1.6178
1766.8397,1.6178
1773.3345,1.5998
1775.3523,1.6021
1781.8471,1.5795
1783.5497,1.5795
1790.1706,1.5628
1792.0623,1.5628
1798.6832,1.5462
1800.5749,1.5462
1806.4392,1.5282
1808.457,1.5244
1814.9518,1.5088
1816.9696,1.5096
1823.4644,1.4896
1825.4822,1.4936
1831.9771,1.4738
1833.9949,1.4764
1840.4897,1.4582
1842.1922,1.4505
1848.624,1.4428
1850.3895,1.4326
1857.0893,1.4294
1858.2716,1.4187
1865.8384,1.4148
1867.7301,1.4123
1873.5943,1.3892
1875.6121,1.3924
1882.107,1.3745
1884.1248,1.3777
1890.6196,1.3607
1892.6374,1.3582
1899.1322,1.3434
1900.8347,1.3391
1907.6449,1.3263
1909.3474,1.3249
1915.9683,1.3109
1917.86,1.3109
1923.7243,1.2956
1925.7421,1.2981
1932.2369,1.2826
1934.2547,1.2798
1940.7495,1.2683
1942.7673,1.2674
1949.2621,1.2522
1951.2799,1.2539
1957.5856,1.2363
1959.4773,1.2363
1966.0982,1.2232
1967.9899,1.2232
1974.6109,1.2102
1976.5025,1.2102
1982.3668,1.1961
1984.3846,1.1942
1990.8794,1.1809
1992.8972,1.1815
1999.3921,1.1665
2001.4099,1.169
2007.9047,1.1536
2009.6072,1.1536
2016.2281,1.1413
2018.1198,1.1413
2024.5516,1.1304
2026.1595,1.1247
2033.0642,1.1173
2034.6722,1.1113
2041.0093,1.1019
2043.0272,1.1015
2049.522,1.0879
2051.5398,1.0908
2058.0346,1.0764
2060.0524,1.0792
2066.5472,1.065
2068.2498,1.0565
2075.0599,1.0537
2076.7624,1.0481
2083.1941,1.0425
2084.9597,1.0352
2091.6595,1.0315
2092.8418,1.0242
2099.6519,1.0151
2101.6697,1.0169
2108.1645,1.0038
2110.1823,1.007
2116.6771,0.9932
2118.695,0.9955
2125.1898,0.9832
2127.2076,0.9814
2133.7024,0.9707
2135.4049,0.9676
2142.215,0.9584
2143.9176,0.9574
2150.5385,0.9472
2152.4302,0.9522
2159.0511,0.9372
2160.9428,0.9422
2166.8071,0.9267
2168.8249,0.9281
2175.3197,0.9169
2177.3375,0.9158
2183.8323,0.9058
2185.8501,0.9061
2192.3449,0.8957
2194.0475,0.8933
2200.6684,0.8838
2202.5601,0.8838
2209.181,0.8745
2211.0727,0.8745
2216.937,0.8643
2218.9548,0.866
2225.4496,0.8551
2227.4674,0.8538
2233.9622,0.8447
2235.98,0.8455
2242.4749,0.8353
2244.4927,0.8365
2250.7983,0.8247
2252.69,0.8247
2259.311,0.816
2261.2026,0.816
2267.8236,0.8073
2269.7153,0.8073
2275.5795,0.7979
2277.755,0.8009
2277.2821,0.7924
2284.0922,0.789
2286.11,0.7882
2292.6048,0.7798
2294.6226,0.7798
2301.1174,0.7699
2303.1352,0.7723
2309.4409,0.7614
2311.3326,0.7614
2317.9535,0.7533
2319.8452,0.7533
2326.4661,0.7453
2328.3578,0.7453
2334.2221,0.7366
2336.2399,0.7348
2342.7347,0.7284
2344.7525,0.7277
2351.2473,0.7196
2353.2651,0.7199
2359.76,0.7108
2361.7778,0.7129
2368.2726,0.7029
2369.9751,0.7029
2376.596,0.6955
2378.4877,0.6954
2385.1087,0.6881
2387.0004,0.6881
